No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
53	0x0000000000000000000000000000000000000000	0x5e8b70b5215c6842a9d4f38fdc4e0dfcec8f2249	2393.4	12990299.481558409089497283	3913152	1	0x03d0f09f3c4c571b56da8148aee52bfb84720f7b06f5d6dcfbb196b9c5be4652
54	0x0000000000000000000000000000000000000000	0xda1b2aeac0196d39658186604609fff185e1774d	1249.3548	12991548.836358409089497283	3913152	2	0x55cb03f071452b46b0014fd0885922a36dc858dd7db5f4487ef5537467dbb10c
55	0x0000000000000000000000000000000000000000	0xdf7c3e465f886238925472c4b4b92eeab3a10877	4786.8	12996335.636358409089497283	3913152	3	0x9bfb59c149607e53baec1f14aa7c8aaa254df94ae7fdb92ef662eb68caaa7a8b
56	0x0000000000000000000000000000000000000000	0xa7c8db7920e89b9388686c3c06e0824e6a2abaa8	952.5732	12997288.209558409089497283	3913152	4	0xb1ad03b1b6c3e9828e496f941da49a86e2b0e6f9eb8b184949ea5ffe1f4b6e01
57	0x0000000000000000000000000000000000000000	0xb464dab7a2b173a22645bdb98b6aa4eb6abbe45c	10526.1732	13007814.382758409089497283	3913152	5	0xb4b93c5a880a30810beef64a865579f1aa8c742c8f70e265c1179a8d7f71cfb2
58	0x0000000000000000000000000000000000000000	0x4105b4343f4c52cea24d2cbda25b714c10bd0fc4	3925.176	13011739.558758409089497283	3913152	7	0x62af5984f8ff3a48c105873c9361e14cc42c3a499905eb504df7b3926c9b46bc
59	0x0000000000000000000000000000000000000000	0xb583afde568f1228694bd6ff537002c361acebaa	2393.4	13014132.958758409089497283	3913152	9	0x6c432c32f2835392670da77d46d66d882af74026fe68eb928025d9ee8095232b
60	0x0000000000000000000000000000000000000000	0xc5f444774a79a772a7f4f20fffe8c2dcb4115ee1	2872.08	13017005.038758409089497283	3913152	10	0xcabb1565b1a1b79d82277bf9ce39a21950c352e06daee57ad0b94090f13e619d
61	0x0000000000000000000000000000000000000000	0x7f42c58eec6f53638a81caa5bd989fc3b284888f	2733.190232112	13019738.228990521089497283	3913152	12	0x0d1fe5c64624a173edf9ffe904243cb9da433341842d44929a309040d2fb751f
62	0x0000000000000000000000000000000000000000	0x763d780520fcb17af0f2bd80a9eb3c76de79cd1c	861.624	13020599.852990521089497283	3913152	13	0x1fce1fe76ad0197e8f2de70bf39346757940547d2b27830aab0fe8c820080f0f
63	0x0000000000000000000000000000000000000000	0xa4998fa51d035389abc367b702855121db5051a6	1811.42020690992	13022411.273197431009497283	3913152	14	0x2a6ef9dde71576689f6978c35a114be36cce33af0f51bd5549a47c248a2872f7
64	0x0000000000000000000000000000000000000000	0xf33b41bcc4dbd712613b0f91787d02764309c456	478.68	13022889.953197431009497283	3913152	15	0x53fb6ca1a7c125801833c66de1e4daf36d833e097458fe483c6c46037413c88f
65	0x0000000000000000000000000000000000000000	0xef67a6208097869ce4dc69667d6f391a7620c801	7180.2	13030070.153197431009497283	3913152	16	0x583c4bb4a1cd4de4593d06dea9c8dc5a90361dafe2e8edd74952dce4f9ccb5cb
66	0x0000000000000000000000000000000000000000	0x52022b478aeb37e7f759ba7e8cbda22836265ce7	2393.4	13032463.553197431009497283	3913152	17	0x5cc3a7f72f5662ce756bf04c9427b6db913be4d389aa64604717931dbd365146
67	0x0000000000000000000000000000000000000000	0x99fd462735f6b8dee602fbaaa854b30b0fb6b4e7	2393.4	13034856.953197431009497283	3913152	18	0xc5b47bceb26e92715a828ea903d4e2213ca28dd73fec3d3713bc741581bfb1bd
68	0x0000000000000000000000000000000000000000	0xb359ad4af411edea51d8bd7e484b3fa007ed5469	19865.22	13054722.173197431009497283	3913152	19	0xd2273e2ad4be9b1cfb41eb9b6ec8e11723d64cae6952671f3c1fae6d72933246
69	0x0000000000000000000000000000000000000000	0xf8f1510afdaecb28f0b8a8f2f5476dc42d9db101	8523.143515596969987032	13063245.316713027979484315	3913152	20	0xdd6d6e30e3507e6ed1304e62a293bff59057fa022bd5fef6e75044465597709e
70	0x0000000000000000000000000000000000000000	0x7f4823876318fad7321fd813b7abd4a7c60c12a5	5744.16	13068989.476713027979484315	3913152	21	0xe5731aa36b0918432baf16c46ff8991cfadfcac184f051f203624e020cef27a1
71	0x0000000000000000000000000000000000000000	0x2a51187822e5a148d9779b3be007b09b7fc7a83e	1723.248	13070712.724713027979484315	3913152	22	0xd118a472060cea72a99228361ad6dcb331333e11b28ce80e2d1e3d20c64dbb0c
72	0x0000000000000000000000000000000000000000	0x8800411258c354cd74134369229b5fa2d33a6d08	1827.60024	13072540.324953027979484315	3913152	25	0xe6abf73ba49b94a9d4dbc51390ea780a3068c67e89a32d7365d86a1f7e03094b
73	0x0000000000000000000000000000000000000000	0xe7e9071aa0e36931b8da3f953dc20a81ed68111e	1196.7	13073737.024953027979484315	3913152	26	0xede6a2db6932955cdc36b22471595bc7b23c9a8a440540b6b2627315ab3df36b
74	0x0000000000000000000000000000000000000000	0xd12ff24a58fba88bbfaec7f077dd7e4d453a7e51	71.802	13073808.826953027979484315	3913152	28	0x56c4ecc86bd8e25e7c6b9b89c902a69e1f9bb3b9851cbb86e9ce36eca0b3d8b1
75	0x0000000000000000000000000000000000000000	0xe02c74aa415aa6742798d7fc656a21b88aa4fa47	694.086	13074502.912953027979484315	3913152	30	0x5f36c5acbd6b61363cbeaeb0b8654fac8833ece8123b35c2d44620515c07e261
